,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
16,django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,,[],debugging,A configurable set of panels that display various debug information about the current request/response.,41,True,jazzband/django-debug-toolbar,django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-05-23 08:17:02,2025-05-23 08:00:01,2756.0,43.0,944.0,112.0,1176.0,66.0,890.0,8233.0,2025-04-29 05:25:28,5.2.0,28.0,103878.0,103878.0,309.0,https://pypi.org/project/django-debug-toolbar,4039744.0,4039745.0,1.0,django-commons/django-debug-toolbar,260.0,,,,
17,django-allauth,https://github.com/pennersr/django-allauth,,[],authentication-authorization,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",40,True,pennersr/django-allauth,django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-05-24 20:14:45,2025-05-24 20:14:26,3791.0,162.0,2998.0,201.0,1625.0,1.0,2397.0,9961.0,,,,268572.0,268572.0,777.0,https://pypi.org/project/django-allauth,1192904.0,1192904.0,1.0,,,,,,
18,django-extensions,https://github.com/django-extensions/django-extensions,,[],management-commands,This is a repository for collecting global custom management extensions for the Django Framework.,40,True,django-extensions/django-extensions,django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2025-05-15 17:25:47,2025-05-15 17:25:47,3726.0,96.0,1134.0,100.0,1017.0,170.0,747.0,6685.0,2025-04-11 01:17:50,4.1,8.0,265491.0,265491.0,596.0,https://pypi.org/project/django-extensions,4906133.0,4906133.0,1.0,,,,,,
19,sentry,https://github.com/getsentry/sentry,,[],monitoring-framework,Developer-first error tracking and performance monitoring.,39,True,getsentry/sentry,,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-05-26 16:09:15,2025-05-26 16:06:30,85464.0,5295.0,4295.0,689.0,75592.0,2174.0,13120.0,40948.0,2025-05-21 15:27:44,25.5.1,100.0,555.0,555.0,926.0,,,319.0,1.0,,23288.0,,,,
20,rq,https://github.com/rq/rq,,[],task-queues,Simple job queues for Python.,38,True,rq/rq,rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2025-05-25 16:23:36,2025-05-25 16:23:33,1954.0,33.0,1413.0,202.0,989.0,214.0,985.0,10177.0,2025-05-10 15:06:08,2.3.3,37.0,20035.0,20035.0,338.0,https://pypi.org/project/rq,2349991.0,2349991.0,2.0,,,,,,
21,django-import-export,https://github.com/django-import-export/django-import-export,,[],admin-interface-actions,Django application and library for importing and exporting data with admin integration.,37,True,django-import-export/django-import-export,django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2025-05-26 10:44:41,2025-05-26 10:44:39,1578.0,6.0,766.0,60.0,922.0,22.0,1085.0,3197.0,2025-02-25 12:37:54,4.3.7,52.0,129510.0,129510.0,233.0,https://pypi.org/project/django-import-export,1372981.0,1372981.0,1.0,,,,,,
22,django-stubs,https://github.com/typeddjango/django-stubs,,[],type-stubs,PEP-484 stubs for Django.,37,True,typeddjango/django-stubs,django-stubs,https://github.com/typeddjango/django-stubs,MIT,2018-07-29 17:08:50,2025-05-22 05:01:56,2025-05-22 05:01:54,2065.0,134.0,407.0,16.0,1878.0,165.0,627.0,1742.0,2025-04-26 10:48:12,5.2.0,60.0,13030.0,13030.0,304.0,https://pypi.org/project/django-stubs,3887994.0,3887994.0,1.0,,,,,,
23,pytest-django,https://github.com/pytest-dev/pytest-django,,[],testing,A Django plugin for pytest.,37,True,pytest-dev/pytest-django,pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2025-05-26 15:42:34,2025-04-07 08:36:01,1311.0,10.0,338.0,38.0,644.0,160.0,395.0,1449.0,2025-04-03 19:26:13,4.11.1,26.0,91618.0,91618.0,153.0,https://pypi.org/project/pytest-django,5973495.0,5973495.0,1.0,,,,,,
24,loguru,https://github.com/Delgan/loguru,,[],logging,Python logging made (stupidly) simple.,36,True,Delgan/loguru,loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-05-01 14:51:42,2025-03-01 20:19:59,942.0,2.0,731.0,141.0,248.0,222.0,872.0,21730.0,2024-12-06 11:25:42,0.7.3,22.0,135026.0,135026.0,66.0,https://pypi.org/project/loguru,22132697.0,22132697.0,1.0,,,-1.0,,,
25,graphene,https://github.com/graphql-python/graphene,,[],graphql-api,GraphQL framework for Python.,36,True,graphql-python/graphene,graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,804.0,141.0,571.0,91.0,911.0,8182.0,2024-11-09 20:43:58,3.4.3,63.0,28427.0,28427.0,211.0,https://pypi.org/project/graphene,15591722.0,15591722.0,1.0,,,,,,
26,django-oscar,https://github.com/django-oscar/django-oscar,,[],ecommerce-framework,Domain-driven e-commerce for Django.,36,True,django-oscar/django-oscar,django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2025-05-19 08:14:11,2025-05-14 17:32:43,9177.0,22.0,2197.0,271.0,2946.0,95.0,1418.0,6405.0,2025-04-23 09:32:56,4.0,11.0,1178.0,1178.0,375.0,https://pypi.org/project/django-oscar,27355.0,27355.0,1.0,,,,,,
27,structlog,https://github.com/hynek/structlog,,[],logging,"Simple, powerful, and fast logging for Python.",36,True,hynek/structlog,structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2025-05-09 07:02:21,2025-05-09 07:02:12,1703.0,17.0,242.0,34.0,355.0,34.0,332.0,3984.0,2025-04-25 15:59:56,25.3.0,19.0,20773.0,20773.0,130.0,https://pypi.org/project/structlog,35057869.0,35057869.0,1.0,,,,,,
28,django-environ,https://github.com/joke2k/django-environ,,[],configuration,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,36,True,joke2k/django-environ,django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2025-04-28 18:01:52,2025-01-13 15:27:06,678.0,,316.0,36.0,305.0,67.0,191.0,3085.0,2025-01-16 22:05:33,0.12.0,20.0,276606.0,276606.0,97.0,https://pypi.org/project/django-environ,3317166.0,3317167.0,1.0,,144.0,,,,
29,django-simple-history,https://github.com/jazzband/django-simple-history,,[],fields-versioning,Store model history and view/revert changes from admin site.,36,True,jazzband/django-simple-history,django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2025-05-23 17:24:55,2025-05-17 18:03:17,1416.0,16.0,469.0,43.0,875.0,148.0,463.0,2331.0,2025-01-26 23:57:27,3.9.0,40.0,6792.0,6792.0,187.0,https://pypi.org/project/django-simple-history,1428530.0,1428530.0,1.0,,,,,,
30,JumpServer (Community Edition),https://github.com/jumpserver/jumpserver,,[],pam-framework,JumpServer is an open-source Privileged Access Management (PAM) tool that provides DevOps and IT teams with on-demand..,35,True,jumpserver/jumpserver,,https://github.com/jumpserver/jumpserver,GPL-3.0,2014-07-04 03:54:59,2025-05-26 08:30:51,2025-05-23 03:20:17,12315.0,345.0,5396.0,662.0,8269.0,64.0,7082.0,27765.0,2025-05-19 07:05:17,4.10.1,100.0,21.0,21.0,173.0,,,2982.0,1.0,,89473.0,,,,
31,django-storages,https://github.com/jschneier/django-storages,,[],storage,https://django-storages.readthedocs.io/.,35,True,jschneier/django-storages,django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2025-04-28 01:00:05,2025-04-28 01:00:05,1164.0,7.0,829.0,41.0,773.0,111.0,627.0,2847.0,,,,219360.0,219360.0,281.0,https://pypi.org/project/django-storages,5090435.0,5090435.0,1.0,,,,,,
32,dj-database-url,https://github.com/jazzband/dj-database-url,,[],configuration,Use Database URLs in your Django Application.,35,True,jazzband/dj-database-url,dj-database-url,https://github.com/jazzband/dj-database-url,BSD-3-Clause,2012-04-30 17:20:23,2025-05-18 19:52:53,2025-05-18 19:50:41,323.0,10.0,199.0,32.0,165.0,4.0,94.0,1516.0,2025-05-18 19:52:53,3.0.0,9.0,307804.0,307804.0,73.0,https://pypi.org/project/dj-database-url,2336940.0,2336940.0,2.0,,,,,,
33,graphene-django,https://github.com/graphql-python/graphene-django,,[],graphql-api,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",34,True,graphql-python/graphene-django,graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2025-04-30 04:30:17,2025-03-13 08:29:45,972.0,3.0,737.0,68.0,640.0,143.0,682.0,4360.0,2025-03-13 08:30:22,3.2.3,53.0,16022.0,16022.0,225.0,https://pypi.org/project/graphene-django,682835.0,682835.0,2.0,,,,,,
34,DefectDojo,https://github.com/DefectDojo/django-DefectDojo,,[],security-framework,"DevSecOps, ASPM, Vulnerability Management. All on one platform.",34,True,DefectDojo/django-DefectDojo,,https://github.com/DefectDojo/django-DefectDojo,BSD-3-Clause,2015-02-19 17:53:47,2025-05-26 13:25:37,2025-05-19 15:33:56,12140.0,426.0,1622.0,208.0,9260.0,353.0,2637.0,4035.0,2025-05-19 15:54:17,2.46.3,100.0,,,508.0,,,22501.0,1.0,,427529.0,,,,
35,FastStream,https://github.com/ag2ai/faststream,,[],event-streaming,FastStream is a powerful and easy-to-use Python framework for building asynchronous services interacting with event..,34,True,ag2ai/faststream,faststream,https://github.com/ag2ai/faststream,Apache-2.0,2022-12-01 09:46:18,2025-05-26 16:08:18,2025-05-22 18:03:01,1184.0,78.0,229.0,23.0,1287.0,92.0,658.0,3960.0,2025-05-22 18:49:18,0.5.42,91.0,670.0,670.0,93.0,https://pypi.org/project/faststream,478262.0,478262.0,1.0,,,,,,
36,django-guardian,https://github.com/django-guardian/django-guardian,,[],authentication-authorization,Per object permissions for Django.,34,True,django-guardian/django-guardian,django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2025-05-15 19:14:52,2025-05-15 19:14:52,1191.0,17.0,555.0,78.0,387.0,119.0,357.0,3736.0,2025-05-14 10:54:50,3.0.1,8.0,7472.0,7472.0,172.0,https://pypi.org/project/django-guardian,529691.0,529691.0,1.0,,,,,,
37,whitenoise,https://github.com/evansd/whitenoise,,[],static-file-serving,Radically simplified static file serving for Python web apps.,34,True,evansd/whitenoise,whitenoise,https://github.com/evansd/whitenoise,MIT,2013-08-08 11:02:06,2025-05-19 13:05:16,2025-05-19 13:05:14,880.0,11.0,147.0,25.0,398.0,25.0,221.0,2637.0,,,,521424.0,521424.0,69.0,https://pypi.org/project/whitenoise,3936946.0,3936946.0,1.0,,,,,,
38,ariadne,https://github.com/mirumee/ariadne,,[],graphql-api,Python library for implementing GraphQL servers using schema-first approach.,34,True,mirumee/ariadne,ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,19.0,186.0,39.0,686.0,37.0,288.0,2271.0,2025-04-18 08:27:47,0.26.2,51.0,1922.0,1922.0,84.0,https://pypi.org/project/ariadne,720376.0,720376.0,2.0,,48.0,,,,
39,django-rq,https://github.com/rq/django-rq,,[],task-queues,A simple app that provides django integration for RQ (Redis Queue).,34,True,rq/django-rq,django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2025-05-17 01:11:59,2025-05-17 01:11:55,668.0,12.0,286.0,25.0,340.0,102.0,267.0,1876.0,2025-04-28 07:20:33,3.0.1,15.0,4135.0,4135.0,132.0,https://pypi.org/project/django-rq,504357.0,504357.0,2.0,,,,,,
40,django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,,[],fields-phone-numbers,A django model and form field for normalised phone numbers using python-phonenumbers.,34,True,stefanfoulis/django-phonenumber-field,django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2025-04-10 15:46:24,2025-04-10 08:12:54,620.0,7.0,301.0,21.0,401.0,7.0,223.0,1520.0,2025-04-10 16:07:51,8.1.0,13.0,31283.0,31283.0,114.0,https://pypi.org/project/django-phonenumber-field,1691487.0,1691487.0,1.0,,33.0,,,,
41,transitions,https://github.com/pytransitions/transitions,,[],finite-state-machine,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",33,True,pytransitions/transitions,transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09,2025-03-25 12:53:59,2025-03-25 12:53:59,1107.0,7.0,532.0,99.0,194.0,10.0,436.0,6050.0,2024-08-06 13:42:45,0.9.2,32.0,4026.0,4026.0,78.0,https://pypi.org/project/transitions,964705.0,964705.0,1.0,,,,,,
42,mezzanine,https://github.com/stephenmcd/mezzanine,,[],cms-framework,CMS framework for Django.,33,True,stephenmcd/mezzanine,mezzanine,https://github.com/stephenmcd/mezzanine,BSD-2-Clause,2010-05-29 12:16:55,2025-04-06 16:55:05,2025-04-06 16:47:08,5315.0,9.0,1569.0,244.0,987.0,42.0,1014.0,4796.0,2025-04-06 16:54:14,6.1.0,11.0,2454.0,2454.0,328.0,https://pypi.org/project/mezzanine,3961.0,3961.0,3.0,,,,,,
43,Dependency Injector,https://github.com/ets-labs/python-dependency-injector,,[],dependency-injection,Dependency injection framework for Python.,33,True,ets-labs/python-dependency-injector,dependency-injector,https://github.com/ets-labs/python-dependency-injector,BSD-3-Clause,2015-01-04 13:23:05,2025-05-22 22:29:37,2025-03-02 12:33:31,2062.0,1.0,316.0,51.0,244.0,206.0,393.0,4358.0,2025-02-27 10:33:14,4.42.0,5.0,4907.0,4907.0,36.0,https://pypi.org/project/dependency-injector,2363987.0,2363987.0,1.0,,,,,,
44,django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,[],authentication-authorization,OAuth2 goodies for the Djangonauts!.,33,True,jazzband/django-oauth-toolkit,django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,2013-05-20 15:46:18,2025-05-19 18:08:18,2025-05-19 18:08:12,1433.0,13.0,764.0,65.0,701.0,183.0,684.0,3239.0,2024-09-07 14:10:46,3.0.1,29.0,11333.0,11333.0,267.0,https://pypi.org/project/django-oauth-toolkit,944689.0,944689.0,2.0,,,,,,
45,logfire,https://github.com/pydantic/logfire,,[],apm,Uncomplicated Observability for Python and beyond!.,33,True,pydantic/logfire,logfire,https://github.com/pydantic/logfire,MIT,2024-04-23 11:50:23,2025-05-26 16:13:27,2025-05-26 12:01:39,1242.0,102.0,117.0,15.0,738.0,121.0,222.0,3146.0,2025-05-26 12:05:19,3.16.1,98.0,1490.0,1490.0,53.0,https://pypi.org/project/logfire,761768.0,761768.0,1.0,,,,,,
46,django-reversion,https://github.com/etianen/django-reversion,,[],fields-versioning,django-reversion is an extension to the Django web framework that provides version control for model instances.,33,True,etianen/django-reversion,django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2024-08-09 21:29:48,2024-08-09 21:29:45,1546.0,,460.0,55.0,319.0,18.0,635.0,3099.0,2024-08-09 21:30:11,5.1.0,17.0,7764.0,7764.0,193.0,https://pypi.org/project/django-reversion,651077.0,651077.0,2.0,,,,,,
47,django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,,[],admin-interface,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",33,True,fabiocaccamo/django-admin-interface,django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2025-05-19 16:56:54,2025-04-30 08:46:03,941.0,11.0,173.0,32.0,206.0,12.0,200.0,1934.0,2025-04-03 13:31:31,0.30.0,69.0,5131.0,5131.0,40.0,https://pypi.org/project/django-admin-interface,200975.0,200975.0,1.0,,,,,,
48,django-celery-beat,https://github.com/celery/django-celery-beat,,[],task-queues,Celery Periodic Tasks backed by the Django ORM.,33,True,celery/django-celery-beat,django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2025-05-19 17:13:51,2025-05-19 17:13:49,487.0,34.0,447.0,42.0,404.0,89.0,353.0,1811.0,2025-05-13 07:05:14,2.8.1,18.0,27879.0,27879.0,137.0,https://pypi.org/project/django-celery-beat,2661010.0,2661010.0,3.0,,6.0,,,,
49,django-tenants,https://github.com/django-tenants/django-tenants,,[],multiple-tenants,Django tenants using PostgreSQL Schemas.,33,True,django-tenants/django-tenants,django-tenants,https://github.com/django-tenants/django-tenants,MIT,2015-06-09 19:48:59,2025-05-23 20:30:19,2025-05-23 20:30:14,1118.0,24.0,361.0,59.0,370.0,234.0,452.0,1674.0,2025-05-23 16:09:54,3.7.8,49.0,1203.0,1203.0,116.0,https://pypi.org/project/django-tenants,151772.0,151772.0,1.0,,,,,,
50,django-auditlog,https://github.com/jazzband/django-auditlog,,[],fields-versioning,A Django app that keeps a log of changes made to an object.,33,True,jazzband/django-auditlog,django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2025-05-19 17:18:17,2025-04-30 09:20:27,554.0,12.0,383.0,24.0,420.0,75.0,226.0,1247.0,2025-04-26 11:05:08,3.1.0,20.0,1568.0,1568.0,91.0,https://pypi.org/project/django-auditlog,483003.0,483006.0,2.0,,505.0,,,,
51,Paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,[],document-management-framework,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents.",32,True,paperless-ngx/paperless-ngx,,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2025-05-26 12:13:29,2025-05-24 18:57:09,10213.0,255.0,1608.0,124.0,3009.0,,1999.0,27637.0,2025-05-24 18:52:35,2.16.2,100.0,,,398.0,,,5842.0,1.0,,169432.0,,,,
52,saleor,https://github.com/saleor/saleor,,[],ecommerce-framework,"Saleor Core: the high performance, composable, headless commerce API.",32,True,saleor/saleor,saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2025-05-26 13:19:22,2025-05-23 10:47:58,21917.0,143.0,5560.0,374.0,11994.0,178.0,4180.0,21601.0,2025-05-26 11:43:48,3.20.89,100.0,7.0,7.0,306.0,https://pypi.org/project/saleor,25.0,85.0,2.0,,483.0,,,,
53,netbox,https://github.com/netbox-community/netbox,,[],network-automation-system,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:..,32,True,netbox-community/netbox,,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2025-05-23 21:38:36,2025-05-23 05:02:08,13931.0,369.0,2697.0,415.0,3718.0,316.0,10903.0,17791.0,2025-05-13 19:45:00,4.3.1,100.0,,,407.0,,,,1.0,,,,,,
54,django-ninja,https://github.com/vitalik/django-ninja,,[],restful-api-ninja,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",32,True,vitalik/django-ninja,django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2025-05-26 14:02:22,2025-05-26 13:59:02,1322.0,64.0,489.0,72.0,406.0,331.0,579.0,8167.0,2025-04-08 18:27:43,1.4.1,46.0,,,162.0,https://pypi.org/project/django-ninja,767903.0,767903.0,1.0,,,,,,
55,Garden,https://github.com/garden-io/garden,,[],k8s-cicd,"Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and..",32,True,garden-io/garden,,https://github.com/garden-io/garden,MPL-2.0,2017-12-03 02:10:59,2025-05-26 15:30:09,2025-05-26 13:40:52,7561.0,261.0,281.0,38.0,5571.0,207.0,1455.0,3499.0,2025-04-25 12:31:05,0.14.3,100.0,3.0,3.0,117.0,,,114907.0,1.0,,3332317.0,,,,
56,django-bootstrap3,https://github.com/zostera/django-bootstrap3,,[],mvt-bootstrap-css-framework-integration,Bootstrap 3 integration with Django.,32,True,zostera/django-bootstrap3,django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2025-05-12 11:07:58,2025-05-12 11:07:57,1161.0,12.0,669.0,102.0,773.0,,297.0,2338.0,,,,19415.0,19415.0,100.0,https://pypi.org/project/django-bootstrap3,131110.0,131110.0,1.0,,,,,,
57,social-app-django,https://github.com/python-social-auth/social-app-django,,[],authentication-authorization,Python Social Auth - Application - Django.,32,True,python-social-auth/social-app-django,social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2025-05-26 14:31:51,2025-05-26 14:31:51,2508.0,61.0,373.0,31.0,378.0,70.0,209.0,2086.0,2025-02-13 13:07:15,5.4.3,8.0,51211.0,51211.0,334.0,https://pypi.org/project/social-app-django,,,2.0,,,,,,
58,django-jazzmin,https://github.com/farridav/django-jazzmin,,[],admin-interface,Jazzy theme for Django.,32,True,farridav/django-jazzmin,django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2025-03-06 04:29:43,2025-01-11 13:37:30,1132.0,,294.0,37.0,326.0,121.0,168.0,1748.0,2024-10-08 17:40:29,3.0.1,32.0,17004.0,17004.0,76.0,https://pypi.org/project/django-jazzmin,263562.0,263562.0,2.0,,,,,,
59,django-bootstrap4,https://github.com/zostera/django-bootstrap4,,[],mvt-bootstrap-css-framework-integration,Bootstrap 4 integration with Django.,32,True,zostera/django-bootstrap4,django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2025-05-12 10:13:38,2025-05-12 10:13:37,1284.0,9.0,216.0,36.0,654.0,18.0,144.0,1028.0,2021-05-20 08:44:02,3.0.1,2.0,191622.0,191622.0,139.0,https://pypi.org/project/django-bootstrap4,179810.0,179810.0,1.0,,,,,,
60,dramatiq,https://github.com/Bogdanp/dramatiq,,[],task-queues,A fast and reliable background task processing library for Python 3.,31,True,Bogdanp/dramatiq,dramatiq,https://github.com/Bogdanp/dramatiq,LGPL-3.0,2017-05-30 11:55:29,2025-05-21 11:22:29,2025-05-15 08:35:10,1150.0,39.0,325.0,58.0,305.0,57.0,346.0,4641.0,2024-10-26 05:08:38,1.17.1,27.0,1453.0,1453.0,121.0,https://pypi.org/project/dramatiq,340404.0,340404.0,3.0,,54.0,,,,
61,granian,https://github.com/emmett-framework/granian,,[],http-server,A Rust HTTP server for Python applications.,31,True,emmett-framework/granian,granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2025-05-21 12:29:23,2025-05-21 12:29:21,636.0,77.0,100.0,32.0,274.0,30.0,201.0,3525.0,2025-05-20 14:00:27,2.3.1,85.0,608.0,608.0,29.0,https://pypi.org/project/granian,292372.0,292372.0,1.0,,,,,,
62,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,,[],authentication-authorization,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,31,True,jazzband/django-two-factor-auth,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2025-05-19 17:18:53,2025-04-19 10:33:02,864.0,32.0,434.0,37.0,381.0,85.0,293.0,1788.0,2023-04-05 21:44:13,1.15.1,34.0,2228.0,2228.0,109.0,https://pypi.org/project/django-two-factor-auth,409720.0,409720.0,2.0,,,,,,
