,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
10,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2024-10-29 09:24:58,2024-10-29 09:24:52,1533.0,28.0,752.0,64.0,879.0,15.0,1066.0,3051.0,2024-10-23 08:18:29,4.2.0,43.0,Django application and library for importing and exporting data with admin integration.,102085.0,102085.0,219.0,https://pypi.org/project/django-import-export,1173262.0,1173262.0,38,True,1.0,,,,,
11,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2024-10-30 02:55:04,2024-10-28 15:57:02,1896.0,23.0,1390.0,206.0,925.0,186.0,963.0,9857.0,2024-10-28 15:45:40,2.0,31.0,Simple job queues for Python.,17837.0,17837.0,323.0,https://pypi.org/project/rq,1537519.0,1537519.0,37,True,2.0,,,,,
12,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2024-07-15 22:18:37,2024-04-27 16:13:05,3624.0,,1123.0,103.0,991.0,172.0,724.0,6563.0,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,231102.0,231102.0,577.0,https://pypi.org/project/django-extensions,4358026.0,4358026.0,37,True,1.0,,,,,
13,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2024-10-07 15:31:58,2024-09-26 17:43:06,9109.0,31.0,2164.0,269.0,2858.0,91.0,1414.0,6278.0,2024-09-20 11:17:48,3.2.5,10.0,Domain-driven e-commerce for Django.,1132.0,1132.0,367.0,https://pypi.org/project/django-oscar,35346.0,35346.0,37,True,1.0,,,,,
14,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2024-10-01 00:48:42,2024-09-29 14:55:34,1289.0,23.0,332.0,42.0,617.0,156.0,386.0,1391.0,2024-09-02 15:53:08,4.9.0,23.0,A Django plugin for pytest.,81568.0,81568.0,152.0,https://pypi.org/project/pytest-django,5176399.0,5176399.0,37,True,1.0,,,,,
15,django-oauth-toolkit,jazzband/django-oauth-toolkit,django-oauth-toolkit,[],authentication-authorization,https://github.com/jazzband/django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,2013-05-20 15:46:18,2024-10-28 19:29:53,2024-10-28 19:29:47,1399.0,44.0,755.0,67.0,657.0,181.0,678.0,3149.0,2024-09-07 14:10:46,3.0.1,29.0,OAuth2 goodies for the Djangonauts!.,10358.0,10358.0,264.0,https://pypi.org/project/django-oauth-toolkit,1011047.0,1011047.0,35,True,1.0,,,,,
16,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2024-10-18 03:13:43,2024-10-18 03:13:42,1146.0,5.0,816.0,42.0,748.0,101.0,617.0,2755.0,,,,https://django-storages.readthedocs.io/.,187154.0,187154.0,274.0,https://pypi.org/project/django-storages,3966869.0,3966869.0,35,True,1.0,,,,,
17,dj-database-url,jazzband/dj-database-url,dj-database-url,[],configuration,https://github.com/jazzband/dj-database-url,https://github.com/jazzband/dj-database-url,BSD-3-Clause,2012-04-30 17:20:23,2024-10-23 10:01:03,2024-10-23 09:57:17,309.0,10.0,195.0,34.0,160.0,3.0,92.0,1491.0,2024-10-23 10:01:03,2.3.0,8.0,Use Database URLs in your Django Application.,286746.0,286746.0,72.0,https://pypi.org/project/dj-database-url,1853650.0,1853650.0,35,True,1.0,,2.0,,,
18,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2024-10-31 14:43:17,2024-10-28 09:39:29,21627.0,230.0,5359.0,374.0,11262.0,394.0,3926.0,20747.0,2024-10-28 10:18:43,3.20.42,100.0,"Saleor Core: the high performance, composable, headless commerce API.",6.0,6.0,298.0,https://pypi.org/project/saleor,95.0,262.0,34,True,2.0,670.0,,,,
19,structlog,hynek/structlog,structlog,[],logging,https://github.com/hynek/structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2024-10-31 09:44:35,2024-10-31 09:44:32,1635.0,35.0,220.0,35.0,326.0,35.0,304.0,3510.0,2024-07-17 12:37:09,24.4.0,16.0,"Simple, powerful, and fast logging for Python.",14377.0,14377.0,121.0,https://pypi.org/project/structlog,21832306.0,21832306.0,34,True,2.0,,,,,
20,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2024-08-09 21:29:48,2024-08-09 21:29:45,1546.0,8.0,463.0,57.0,321.0,14.0,640.0,3033.0,2024-08-09 21:30:11,5.1.0,17.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7582.0,7582.0,193.0,https://pypi.org/project/django-reversion,516997.0,516997.0,34,True,1.0,,-2.0,,,
21,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2024-10-29 10:48:27,2023-09-01 19:02:16,636.0,,306.0,37.0,290.0,66.0,186.0,3013.0,2023-09-01 21:08:14,0.11.2,19.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,236978.0,236978.0,93.0,https://pypi.org/project/django-environ,2617121.0,2617121.0,34,True,2.0,122.0,,,,
22,whitenoise,evansd/whitenoise,whitenoise,[],static-file-serving,https://github.com/evansd/whitenoise,https://github.com/evansd/whitenoise,MIT,2013-08-08 11:02:06,2024-10-29 23:04:42,2024-10-29 23:04:34,853.0,27.0,145.0,25.0,375.0,24.0,217.0,2544.0,,,,Radically simplified static file serving for Python web apps.,458431.0,458431.0,69.0,https://pypi.org/project/whitenoise,3347527.0,3347527.0,34,True,1.0,,,,,
23,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2024-10-28 17:53:25,2024-09-10 21:02:16,1372.0,5.0,456.0,43.0,824.0,142.0,448.0,2205.0,2024-05-29 19:16:05,3.7.0,38.0,Store model history and view/revert changes from admin site.,5909.0,5909.0,183.0,https://pypi.org/project/django-simple-history,1421012.0,1421012.0,34,True,1.0,,-2.0,,,
24,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2024-10-09 01:50:19,2024-09-15 14:50:15,968.0,1.0,741.0,70.0,631.0,144.0,682.0,4302.0,2024-06-12 02:55:27,3.2.2,52.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",15308.0,15308.0,224.0,https://pypi.org/project/graphene-django,479945.0,479945.0,33,True,2.0,,,,,
25,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2024-11-01 00:11:30,2024-10-23 16:52:42,913.0,31.0,169.0,32.0,185.0,12.0,194.0,1821.0,2024-10-23 16:53:28,0.29.1,65.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",4536.0,4536.0,39.0,https://pypi.org/project/django-admin-interface,174077.0,174077.0,33,True,1.0,,,,,
26,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2024-07-19 17:41:17,2024-07-19 17:41:17,604.0,,296.0,24.0,393.0,9.0,219.0,1485.0,2024-06-24 13:48:07,8.0.0,12.0,A django model and form field for normalised phone numbers using python-phonenumbers.,28439.0,28439.0,115.0,https://pypi.org/project/django-phonenumber-field,1450838.0,1450838.0,33,True,1.0,31.0,,,,
27,django-bootstrap4,zostera/django-bootstrap4,django-bootstrap4,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2024-10-30 09:59:18,2024-10-30 09:59:17,1266.0,27.0,216.0,37.0,626.0,17.0,144.0,1029.0,2021-05-20 08:44:02,3.0.1,2.0,Bootstrap 4 integration with Django.,165550.0,165550.0,139.0,https://pypi.org/project/django-bootstrap4,180878.0,180878.0,33,True,1.0,,,,,
28,Paperless-ngx,paperless-ngx/paperless-ngx,,[],document-management-framework,https://github.com/paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2024-10-31 21:34:51,2024-10-30 22:07:35,9619.0,219.0,1128.0,111.0,2510.0,,1669.0,20713.0,2024-10-29 19:36:49,2.13.2,98.0,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents.",,,370.0,,,3510.0,32,True,1.0,112342.0,2.0,,,
29,netbox,netbox-community/netbox,,[],network-automation-system,https://github.com/netbox-community/netbox,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2024-10-31 23:32:49,2024-10-31 17:50:45,13261.0,296.0,2549.0,407.0,3271.0,292.0,10140.0,16107.0,2024-10-31 17:51:29,4.1.6,100.0,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:..,,,386.0,,,,32,True,1.0,,,,,
30,transitions,pytransitions/transitions,transitions,[],finite-state-machine,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09,2024-08-23 09:02:43,2024-08-13 12:28:13,1100.0,7.0,516.0,96.0,208.0,8.0,453.0,5743.0,2024-08-06 13:42:45,0.9.2,32.0,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",3719.0,3719.0,78.0,https://pypi.org/project/transitions,737376.0,737376.0,32,True,1.0,,,,,
31,django-bootstrap3,zostera/django-bootstrap3,django-bootstrap3,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2024-10-30 10:09:37,2024-10-30 10:09:36,1131.0,29.0,673.0,103.0,741.0,,297.0,2343.0,,,,Bootstrap 3 integration with Django.,19184.0,19184.0,100.0,https://pypi.org/project/django-bootstrap3,134896.0,134896.0,32,True,2.0,,,,,
32,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2024-10-07 20:46:28,2024-10-07 20:46:28,686.0,20.0,289.0,35.0,297.0,15.0,282.0,1716.0,2024-09-17 09:59:37,4.1.2,9.0,Dynamic Django settings.,2161.0,2161.0,146.0,https://pypi.org/project/django-constance,328557.0,328557.0,32,True,2.0,,,,,
33,django-anymail,anymail/django-anymail,django-anymail,[],emails,https://github.com/anymail/django-anymail,https://github.com/anymail/django-anymail,BSD-3-Clause,2016-03-10 02:55:09,2024-09-09 19:29:32,2024-09-09 19:25:26,910.0,18.0,129.0,22.0,153.0,5.0,222.0,1695.0,2024-09-09 19:29:32,12.0,60.0,"Django email backends and webhooks for Amazon SES, Brevo (Sendinblue), MailerSend, Mailgun, Mailjet, Postmark, Postal,..",6861.0,6861.0,66.0,https://pypi.org/project/django-anymail,813431.0,813432.0,32,True,1.0,136.0,,,,
34,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2024-10-28 20:20:39,2024-10-26 13:42:14,1095.0,5.0,282.0,38.0,307.0,117.0,162.0,1629.0,2024-10-08 17:40:29,3.0.1,32.0,Jazzy theme for Django.,13071.0,13071.0,68.0,https://pypi.org/project/django-jazzmin,322427.0,322427.0,32,True,2.0,,,,,
35,dj-stripe,dj-stripe/dj-stripe,dj-stripe,[],payment-subscriptions,https://github.com/dj-stripe/dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2024-10-14 00:04:39,2024-10-14 00:04:36,3294.0,19.0,470.0,32.0,1026.0,63.0,942.0,1629.0,2023-08-08 11:58:56,2.8.1,70.0,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,1089.0,1089.0,128.0,https://pypi.org/project/dj-stripe,127574.0,127574.0,32,True,1.0,,,,,
36,django-tenants,django-tenants/django-tenants,django-tenants,[],multiple-tenants,https://github.com/django-tenants/django-tenants,https://github.com/django-tenants/django-tenants,MIT,2015-06-09 19:48:59,2024-10-25 22:20:17,2024-10-25 22:19:41,1068.0,26.0,333.0,57.0,341.0,230.0,436.0,1504.0,2024-08-27 13:29:44,3.7.0,48.0,Django tenants using PostgreSQL Schemas.,968.0,968.0,112.0,https://pypi.org/project/django-tenants,120396.0,120396.0,32,True,1.0,,,,,
37,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-08-02 06:37:32,2024-08-02 06:37:32,1851.0,,179.0,39.0,662.0,32.0,283.0,2212.0,2024-03-18 10:27:12,0.23.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1713.0,1713.0,77.0,https://pypi.org/project/ariadne,581273.0,581273.0,31,True,2.0,,,,,
38,social-app-django,python-social-auth/social-app-django,social-app-django,[],authentication-authorization,https://github.com/python-social-auth/social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2024-10-30 08:09:14,2024-10-30 08:09:14,2398.0,26.0,369.0,33.0,302.0,131.0,167.0,2030.0,2024-07-12 13:19:24,5.4.2,7.0,Python Social Auth - Application - Django.,46283.0,46283.0,332.0,https://pypi.org/project/social-app-django,,,31,True,2.0,,,,,
39,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2024-10-30 03:07:15,2024-10-28 15:39:40,654.0,10.0,279.0,27.0,324.0,99.0,260.0,1834.0,2024-10-28 15:41:06,3.0,13.0,A simple app that provides django integration for RQ (Redis Queue).,3645.0,3645.0,129.0,https://pypi.org/project/django-rq,288249.0,288249.0,31,True,3.0,,,,,
40,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2024-10-28 17:52:46,2024-08-23 22:15:51,503.0,12.0,195.0,24.0,249.0,66.0,221.0,981.0,2024-08-23 22:20:38,4.2.1,6.0,Management commands to help backup and restore your project database and media files.,2107.0,2107.0,75.0,https://pypi.org/project/django-dbbackup,147317.0,147317.0,31,True,2.0,,,,,
41,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2024-08-13 12:14:42,2021-06-26 12:04:16,1246.0,,236.0,50.0,313.0,279.0,153.0,1830.0,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1767.0,1767.0,62.0,https://pypi.org/project/django-q,105421.0,105421.0,30,True,3.0,,,,,
42,django-two-factor-auth,jazzband/django-two-factor-auth,django-two-factor-auth,[],authentication-authorization,https://github.com/jazzband/django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2024-10-28 17:53:35,2024-10-01 10:49:00,821.0,7.0,418.0,39.0,369.0,83.0,286.0,1686.0,2023-04-05 21:44:13,1.15.1,34.0,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,1676.0,1676.0,105.0,https://pypi.org/project/django-two-factor-auth,415160.0,415160.0,30,True,2.0,,,,,
43,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2024-10-29 14:32:14,2024-10-29 14:32:12,532.0,7.0,372.0,25.0,396.0,70.0,217.0,1140.0,2024-04-12 09:55:11,3.0.0,19.0,A Django app that keeps a log of changes made to an object.,1186.0,1186.0,82.0,https://pypi.org/project/django-auditlog,375393.0,375396.0,30,True,2.0,438.0,,,,
44,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/jazzband/django-waffle,https://github.com/jazzband/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2024-10-08 16:51:42,2024-10-08 16:51:39,438.0,2.0,238.0,26.0,300.0,42.0,167.0,1129.0,2023-12-11 08:12:23,4.1.0,24.0,A feature flipper for Django.,1462.0,1462.0,120.0,https://pypi.org/project/django-waffle,743158.0,743158.0,30,True,1.0,,,jazzband/django-waffle,,
45,django-ses,django-ses/django-ses,django-ses,[],emails,https://github.com/django-ses/django-ses,https://github.com/django-ses/django-ses,MIT,2011-01-25 19:41:40,2024-10-25 15:55:12,2024-10-25 15:55:12,372.0,10.0,214.0,19.0,193.0,54.0,91.0,1009.0,2024-08-22 18:28:04,4.1.1,50.0,A Django email backend for Amazons Simple Email Service.,3133.0,3133.0,83.0,https://pypi.org/project/django-ses,614651.0,614651.0,30,True,2.0,,,,,
46,Open edX,openedx/edx-platform,,[],education-framework,https://github.com/openedx/edx-platform,https://github.com/openedx/edx-platform,AGPL-3.0,2013-05-30 20:20:38,2024-10-31 20:59:45,2024-10-31 15:54:17,66000.0,455.0,3556.0,432.0,35102.0,207.0,409.0,7414.0,2015-03-02 21:13:51,named-release/birch,4.0,"The Open edX LMS & Studio, powering education sites around the world!.",3.0,3.0,1412.0,,,,29,True,1.0,,,,,
47,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-10-25 15:58:56,2024-10-25 15:58:56,1214.0,37.0,422.0,74.0,355.0,303.0,532.0,7197.0,2024-08-15 09:14:29,1.3.0,43.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,146.0,https://pypi.org/project/django-ninja,476945.0,476945.0,29,True,1.0,,,,,
48,django-guardian,django-guardian/django-guardian,django-guardian,[],authentication-authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2024-10-22 08:51:50,2024-10-22 08:51:50,1093.0,21.0,543.0,77.0,366.0,127.0,337.0,3631.0,,,,Per object permissions for Django.,6959.0,6959.0,164.0,https://pypi.org/project/django-guardian,337453.0,337453.0,29,True,2.0,,2.0,,,
49,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2024-04-16 12:13:04,2024-04-16 12:13:00,353.0,,285.0,46.0,146.0,1.0,156.0,2340.0,2024-04-09 07:55:47,3.0.0,5.0,Django friendly finite state machine support.,1713.0,1713.0,70.0,https://pypi.org/project/django-fsm,339493.0,339493.0,29,True,2.0,,,,,
50,logfire,pydantic/logfire,logfire,[],apm,https://github.com/pydantic/logfire,https://github.com/pydantic/logfire,MIT,2024-04-23 11:50:23,2024-10-31 20:21:42,2024-10-31 20:21:42,909.0,140.0,63.0,16.0,378.0,68.0,116.0,2125.0,2024-10-31 11:00:05,2.1.1,49.0,Uncomplicated Observability for Python and beyond!.,192.0,192.0,37.0,https://pypi.org/project/logfire,92322.0,92322.0,29,True,3.0,,,,,
51,django-cacheops,Suor/django-cacheops,django-cacheops,[],caching,https://github.com/Suor/django-cacheops,https://github.com/Suor/django-cacheops,BSD-3-Clause,2011-06-04 12:25:47,2024-10-09 12:29:04,2024-10-09 12:28:26,1243.0,4.0,215.0,40.0,144.0,19.0,323.0,2116.0,,,,A slick ORM cache with automatic granular event-driven invalidation.,1338.0,1338.0,68.0,https://pypi.org/project/django-cacheops,178204.0,178204.0,29,True,1.0,,,,,
52,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2024-10-28 20:55:30,2024-09-27 09:52:36,494.0,3.0,137.0,23.0,186.0,51.0,155.0,1104.0,2023-11-30 10:00:09,2.5.1,11.0,A helper for organizing Django project settings by relying on well established programming patterns.,3185.0,3185.0,71.0,https://pypi.org/project/django-configurations,307254.0,307254.0,29,True,3.0,,,,,
53,django-bootstrap5,zostera/django-bootstrap5,django-bootstrap5,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap5,https://github.com/zostera/django-bootstrap5,BSD-3-Clause,2021-03-15 13:32:45,2024-10-29 20:56:12,2024-10-29 20:55:23,1460.0,45.0,84.0,13.0,614.0,31.0,68.0,392.0,,,,Bootstrap 5 for Django.,7541.0,7541.0,149.0,https://pypi.org/project/django-bootstrap5,151019.0,151019.0,29,True,3.0,,,,,
54,django-material,viewflow/django-material,django-material,[],admin-interface,https://github.com/viewflow/django-material,https://github.com/viewflow/django-material,BSD-3-Clause,2015-01-16 07:17:33,2024-02-08 05:51:10,2024-02-08 05:50:41,888.0,,415.0,90.0,121.0,20.0,393.0,2487.0,2017-10-27 11:20:04,1.1.0,5.0,Material Design for Django.,1820.0,1820.0,41.0,https://pypi.org/project/django-material,18117.0,18117.0,28,True,2.0,,,,,
55,django-htmx,adamchainz/django-htmx,django-htmx,[],templates,https://github.com/adamchainz/django-htmx,https://github.com/adamchainz/django-htmx,MIT,2020-10-18 17:12:47,2024-10-27 23:10:08,2024-10-27 23:10:05,502.0,31.0,139.0,40.0,412.0,4.0,74.0,1625.0,,,,Extensions for using Django with htmx.,3124.0,3124.0,22.0,https://pypi.org/project/django-htmx,542421.0,542421.0,28,True,1.0,,,,,
