,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
13,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2023-11-25 11:47:15,2023-09-01 19:02:16,636.0,,301.0,34.0,275.0,60.0,176.0,2852,2023-09-01 21:08:14,0.11.2,19.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,204492.0,204492.0,93.0,https://pypi.org/project/django-environ,1900326.0,1900326.0,35,True,1,42.0,-1.0,,,
14,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2023-11-27 22:36:14,2023-11-26 16:55:58,1095.0,43.0,783.0,41.0,683.0,117.0,541.0,2543,,,,https://django-storages.readthedocs.io/.,167081.0,167081.0,258.0,https://pypi.org/project/django-storages,2780937.0,2780937.0,35,True,1,,,,,
15,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2023-11-11 09:57:48,2023-11-11 09:57:48,1255.0,50.0,316.0,41.0,587.0,137.0,374.0,1253,2023-11-08 11:21:35,4.7.0,21.0,A Django plugin for pytest.,68150.0,68150.0,142.0,https://pypi.org/project/pytest-django,2770325.0,2770325.0,35,True,1,,,,,
16,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-11-30 22:15:06,2023-11-30 22:15:06,2850.0,150.0,2766.0,186.0,1422.0,89.0,2008.0,8480,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",21.0,21.0,668.0,https://pypi.org/project/django-allauth,814539.0,814539.0,34,True,1,,,,,
17,dj-stripe,dj-stripe/dj-stripe,dj-stripe,[],payment-subscriptions,https://github.com/dj-stripe/dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2023-11-28 13:57:43,2023-11-27 14:19:19,3243.0,70.0,448.0,32.0,995.0,56.0,897.0,1483,2023-08-08 11:58:56,2.8.1,70.0,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,865.0,865.0,126.0,https://pypi.org/project/dj-stripe,68622.0,68622.0,34,True,1,,,,,
18,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2023-11-25 21:16:00,2023-11-16 19:17:36,576.0,8.0,297.0,24.0,371.0,11.0,202.0,1417,2023-10-05 06:57:40,7.2.0,10.0,A django model and form field for normalised phone numbers using python-phonenumbers.,23661.0,23661.0,114.0,https://pypi.org/project/django-phonenumber-field,941136.0,941136.0,34,True,1,16.0,,,,
19,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2023-11-30 16:05:43,2023-11-30 11:03:14,20962.0,268.0,5066.0,372.0,9452.0,530.0,3599.0,19359,2023-11-30 13:16:47,3.14.37,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,283.0,https://pypi.org/project/saleor,29.0,49.0,33,True,2,80.0,,,,
20,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-11-29 11:05:01,2023-11-28 14:45:35,1029.0,119.0,325.0,72.0,262.0,185.0,433.0,5326,2023-11-17 10:15:21,1.0.1,38.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1817.0,1817.0,116.0,https://pypi.org/project/django-ninja,230554.0,230554.0,33,True,1,,,,,
21,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2023-11-28 06:27:51,2023-10-29 15:42:27,950.0,6.0,720.0,72.0,608.0,129.0,668.0,4163,2023-08-09 22:12:46,3.1.5,48.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",13972.0,13972.0,218.0,https://pypi.org/project/graphene-django,425752.0,425752.0,33,True,2,,,,,
22,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-11-30 18:31:49,2023-11-30 09:03:18,3012.0,86.0,461.0,43.0,2308.0,348.0,514.0,3543,2023-11-20 17:43:35,0.215.1,100.0,A GraphQL library for Python that leverages type annotations.,2479.0,2479.0,233.0,https://pypi.org/project/strawberry,788.0,853.0,32,True,2,458.0,,,,
23,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2023-12-01 00:09:33,2023-11-24 17:08:10,786.0,25.0,150.0,33.0,135.0,13.0,173.0,1564,2023-09-05 16:49:16,0.26.1,52.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",3452.0,3452.0,34.0,https://pypi.org/project/django-admin-interface,96554.0,96554.0,32,True,1,,,,,
24,django-bootstrap4,zostera/django-bootstrap4,django-bootstrap4,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2023-11-09 15:29:41,2023-11-09 15:29:40,1175.0,6.0,213.0,38.0,496.0,18.0,140.0,1017,2021-05-20 08:44:02,3.0.1,2.0,Bootstrap 4 integration with Django.,152978.0,152978.0,138.0,https://pypi.org/project/django-bootstrap4,166699.0,166699.0,32,True,1,,,,,
25,social-app-django,python-social-auth/social-app-django,social-app-django,[],authentication-authorization,https://github.com/python-social-auth/social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2023-11-28 17:30:40,2023-11-28 17:30:39,2323.0,33.0,348.0,33.0,218.0,129.0,154.0,1894,2023-10-17 07:41:03,5.4.0,5.0,Python Social Auth - Application - Django.,37021.0,37021.0,328.0,https://pypi.org/project/social-app-django,,,31,True,1,,,,,
26,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2023-11-27 23:20:10,2023-11-26 11:34:09,617.0,5.0,269.0,28.0,294.0,88.0,251.0,1707,2023-11-26 11:47:24,2.9.0,11.0,A simple app that provides django integration for RQ (Redis Queue).,3011.0,3011.0,122.0,https://pypi.org/project/django-rq,434888.0,434888.0,31,True,3,,,,,
27,django-two-factor-auth,jazzband/django-two-factor-auth,django-two-factor-auth,[],authentication-authorization,https://github.com/jazzband/django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2023-11-15 21:58:33,2023-10-18 12:20:35,758.0,14.0,399.0,41.0,328.0,82.0,271.0,1503,2023-04-05 21:44:13,1.15.1,34.0,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,1176.0,1176.0,95.0,https://pypi.org/project/django-two-factor-auth,189161.0,189161.0,31,True,1,,,,,
28,django-bootstrap3,zostera/django-bootstrap3,django-bootstrap3,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2023-11-09 15:44:15,2023-11-09 15:44:14,1028.0,5.0,677.0,106.0,599.0,4.0,291.0,2325,,,,Bootstrap 3 integration with Django.,18667.0,18667.0,99.0,https://pypi.org/project/django-bootstrap3,100115.0,100115.0,30,True,2,,,,,
29,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2023-09-27 21:50:07,2021-06-26 12:04:16,1246.0,,228.0,53.0,310.0,276.0,149.0,1764,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1518.0,1518.0,62.0,https://pypi.org/project/django-q,70218.0,70218.0,30,True,3,,,,,
30,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2023-11-28 20:58:25,2023-11-08 14:45:33,365.0,8.0,384.0,45.0,265.0,83.0,304.0,1451,2023-03-14 10:02:48,2.5.0,14.0,Celery Periodic Tasks backed by the Django ORM.,17098.0,17098.0,112.0,https://pypi.org/project/django-celery-beat,1214412.0,1214412.0,30,True,3,,6.0,,,
31,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2023-11-27 14:46:17,2023-02-02 11:52:14,1032.0,,226.0,34.0,259.0,98.0,145.0,1383,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,7186.0,7186.0,62.0,https://pypi.org/project/django-jazzmin,103128.0,103128.0,30,True,2,,,,,
32,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2023-11-29 19:10:34,2023-10-23 11:59:08,1918.0,23.0,639.0,94.0,330.0,5.0,703.0,3512,,,,A jazzy skin for the Django Admin-Interface (official repository).,5946.0,5946.0,86.0,https://pypi.org/project/django-grappelli,183173.0,183173.0,29,True,2,,,,,
33,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2023-10-28 16:09:02,2023-01-19 10:56:01,341.0,,269.0,43.0,144.0,19.0,138.0,2274,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1523.0,1523.0,67.0,https://pypi.org/project/django-fsm,277574.0,277574.0,29,True,1,,,,,
34,django-tenant-schemas,bernardopires/django-tenant-schemas,django-tenant-schemas,[],multiple-tenants,https://github.com/bernardopires/django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,MIT,2012-06-23 10:54:34,2023-11-01 13:33:35,2023-07-02 19:48:20,637.0,,395.0,66.0,226.0,143.0,328.0,1421,2023-08-27 13:05:42,1.12.0,2.0,Tenant support for Django using PostgreSQL schemas.,400.0,400.0,75.0,https://pypi.org/project/django-tenant-schemas,13019.0,13019.0,29,True,1,,,,,
35,django-organizations,bennylope/django-organizations,django-organizations,[],authentication-authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2023-11-23 23:01:56,2023-11-23 22:06:51,744.0,15.0,192.0,37.0,106.0,12.0,137.0,1189,2023-11-23 14:43:09,2.3.1,17.0,Multi-user accounts for Django projects.,264.0,264.0,48.0,https://pypi.org/project/django-organizations,37158.0,37158.0,29,True,2,,5.0,,,
36,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2023-11-24 20:14:24,2023-11-24 20:14:24,429.0,1.0,233.0,22.0,289.0,38.0,165.0,1033,2023-07-26 04:57:50,4.0.0,23.0,A feature flipper for Django.,1268.0,1268.0,117.0,https://pypi.org/project/django-waffle,432200.0,432200.0,29,True,1,,,,,
37,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2023-11-30 10:00:09,2023-11-30 09:53:39,490.0,8.0,131.0,21.0,178.0,46.0,152.0,1024,2023-11-30 10:00:09,2.5.1,11.0,A helper for organizing Django project settings by relying on well established programming patterns.,2825.0,2825.0,66.0,https://pypi.org/project/django-configurations,160648.0,160648.0,29,True,2,,2.0,,,
38,django-ses,django-ses/django-ses,django-ses,[],emails,https://github.com/django-ses/django-ses,https://github.com/django-ses/django-ses,MIT,2011-01-25 19:41:40,2023-11-29 00:36:16,2023-11-25 16:10:09,340.0,8.0,205.0,19.0,169.0,57.0,81.0,945,2023-11-25 16:09:20,3.5.1,45.0,A Django email backend for Amazons Simple Email Service.,2623.0,2623.0,76.0,https://pypi.org/project/django-ses,593684.0,593684.0,29,True,1,,,,,
39,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2023-11-20 17:30:02,2022-12-12 10:26:16,471.0,,184.0,22.0,220.0,68.0,209.0,809,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1673.0,1673.0,64.0,https://pypi.org/project/django-dbbackup,86618.0,86618.0,29,True,3,,,,,
40,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-08-04 09:46:11,2023-08-04 09:45:28,555.0,,151.0,17.0,100.0,55.0,170.0,798,2023-08-04 09:46:09,0.4.0,27.0,JSON Web Token (JWT) authentication for Graphene Django.,4874.0,4874.0,24.0,https://pypi.org/project/django-graphql-jwt,101509.0,101509.0,29,True,3,,,,,
41,django-guardian,django-guardian/django-guardian,django-guardian,[],authentication-authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2023-11-15 08:37:00,2022-03-25 21:42:47,1062.0,,534.0,83.0,356.0,129.0,323.0,3482,,,,Per object permissions for Django.,6304.0,6304.0,159.0,https://pypi.org/project/django-guardian,368951.0,368951.0,28,True,2,,,,,
42,django-oauth-toolkit,jazzband/django-oauth-toolkit,django-oauth-toolkit,[],authentication-authorization,https://github.com/jazzband/django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,2013-05-20 15:46:18,2023-11-27 18:00:00,2023-11-27 18:00:00,1317.0,57.0,721.0,67.0,569.0,151.0,649.0,2938,2023-05-31 20:51:13,2.3.0,26.0,OAuth2 goodies for the Djangonauts!.,,,244.0,https://pypi.org/project/django-oauth-toolkit,526792.0,526792.0,28,True,2,,,,,
43,django-material,viewflow/django-material,django-material,[],admin-interface,https://github.com/kmmbvnr/django-material,https://github.com/kmmbvnr/django-material,BSD-3-Clause,2015-01-16 07:17:33,2023-04-12 06:12:45,2023-04-12 06:12:40,887.0,,415.0,91.0,121.0,20.0,393.0,2482,2017-10-27 11:20:04,1.1.0,5.0,Material Design for Django.,1763.0,1763.0,41.0,https://pypi.org/project/django-material,11290.0,11290.0,28,True,3,,,kmmbvnr/django-material,,
44,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2023-11-22 00:33:17,2023-10-16 14:14:40,638.0,1.0,282.0,34.0,257.0,29.0,247.0,1617,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1857.0,1857.0,140.0,https://pypi.org/project/django-constance,242108.0,242108.0,28,True,3,,,,,
45,django-tenants,django-tenants/django-tenants,django-tenants,[],multiple-tenants,https://github.com/django-tenants/django-tenants,https://github.com/django-tenants/django-tenants,MIT,2015-06-09 19:48:59,2023-11-30 18:40:19,2023-11-30 10:43:21,954.0,2.0,309.0,57.0,291.0,206.0,424.0,1281,2023-05-18 13:21:07,3.5.0,45.0,Django tenants using PostgreSQL Schemas.,673.0,673.0,104.0,https://pypi.org/project/django-tenants,83630.0,83630.0,28,True,2,,,,,
46,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2023-11-24 11:37:43,2023-11-20 08:19:03,490.0,17.0,340.0,23.0,339.0,55.0,196.0,941,,,16.0,A Django app that keeps a log of changes made to an object.,802.0,802.0,72.0,https://pypi.org/project/django-auditlog,292623.0,292625.0,28,True,2,359.0,,,,
47,django-admin-sortable2,jrief/django-admin-sortable2,django-admin-sortable2,[],admin-interface-actions,https://github.com/jrief/django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,MIT,2013-07-07 21:26:56,2023-11-07 15:48:35,2023-11-07 15:48:21,773.0,8.0,169.0,18.0,160.0,38.0,174.0,669,2023-03-24 11:33:27,2.1.5,9.0,Generic drag-and-drop ordering for objects in the Django admin interface.,2163.0,2163.0,84.0,https://pypi.org/project/django-admin-sortable2,238032.0,238032.0,28,True,2,,,,,
48,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2023-11-29 21:49:52,2023-11-29 21:48:38,604.0,70.0,87.0,17.0,206.0,70.0,151.0,327,2023-11-29 21:49:27,0.26.0,58.0,Strawberry GraphQL Django extension.,348.0,348.0,63.0,https://pypi.org/project/strawberry-graphql-django,58390.0,58390.0,28,True,3,,,,,
49,djangorestframework-simplejwt,jazzband/djangorestframework-simplejwt,djangorestframework-simplejwt,[],restful-api-drf,https://github.com/jazzband/djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,MIT,2017-05-05 17:41:35,2023-11-19 21:48:46,2023-11-06 00:35:27,616.0,3.0,594.0,58.0,333.0,115.0,318.0,3656,2023-08-11 10:54:55,5.3.0,10.0,A JSON Web Token authentication plugin for the Django REST Framework.,,,107.0,https://pypi.org/project/djangorestframework-simplejwt,1824276.0,1824276.0,27,True,3,,,,,
50,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,BSD-3-Clause,2010-11-19 11:15:48,2023-10-19 01:09:56,2021-02-28 18:04:57,5402.0,,976.0,172.0,501.0,87.0,292.0,3079,,,,A Django based shop system.,220.0,220.0,96.0,https://pypi.org/project/django-shop,4070.0,4070.0,27,True,3,,,,,
51,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2023-11-27 08:03:57,2023-11-27 08:03:54,505.0,15.0,65.0,18.0,467.0,4.0,41.0,1035,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,2389.0,2389.0,24.0,https://pypi.org/project/django-split-settings,110195.0,110195.0,27,True,3,,,,,
52,django-post-office,ui/django-post_office,django-post-office,[],emails,https://github.com/ui/django-post_office,https://github.com/ui/django-post_office,MIT,2012-08-11 08:08:52,2023-10-22 08:19:23,2023-10-22 08:18:48,775.0,4.0,241.0,38.0,214.0,89.0,152.0,941,2023-08-08 12:58:21,3.7.1,8.0,"A Django app that allows you to send email asynchronously in Django. Supports HTML email, database backed templates..",80.0,80.0,78.0,https://pypi.org/project/django-post-office,52658.0,52658.0,27,True,2,,,,,
53,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-11-14 12:56:55,2023-10-27 14:54:51,362.0,18.0,80.0,11.0,328.0,22.0,105.0,734,2023-10-27 12:46:09,1.17.0,21.0,Object factory for Django.,3538.0,3538.0,52.0,https://pypi.org/project/model_bakery,539500.0,539500.0,27,True,2,,,,,
54,model-bakery,model-bakers/model_bakery,model-bakery/,[],fake-data,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-11-14 12:56:55,2023-10-27 14:54:51,362.0,18.0,80.0,11.0,328.0,22.0,105.0,734,2023-10-27 12:46:09,1.17.0,21.0,Object factory for Django.,3538.0,3538.0,52.0,https://pypi.org/project/model-bakery/,539500.0,539500.0,27,True,1,,,,,
55,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication-authorization,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,MIT,2014-05-23 22:52:34,2023-10-17 22:52:27,2023-10-17 22:52:22,655.0,5.0,162.0,18.0,186.0,2.0,151.0,365,2023-10-17 22:51:49,5.0.1,28.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",484.0,484.0,86.0,https://pypi.org/project/django-cas-ng,28436.0,28440.0,27,True,2,546.0,,,,
